playername,elo
Gumayusi,2483.3226513062914
Keria,2481.110679389697
Faker,2470.056919342456
Oner,2455.4729684476574
Zeus,2441.9290788556023
Bin,2229.681809124662
Xun,2213.448281860992
ON,2195.946985974465
Elk,2176.3194653141463
Knight,2146.465267820915
Kiin,2024.6553370212905
Canyon,2004.9614374531332
Chovy,1976.1015741719068
Peyz,1951.230059884159
Breathe,1904.4773537726599
Tarzan,1896.4083522103829
Xiaohu,1893.1130357699062
Bwipo,1884.5495556534172
Light,1880.1404591212342
Lehends,1876.1241510927823
Inspired,1865.8617272659517
Crisp,1845.7344673119312
Busio,1833.811597031094
Massu,1826.945456545397
Hang,1796.2459343199014
Quad,1776.4376890344363
Zika,1762.7104504504214
Weiwei,1739.2622107779546
Doran,1726.0827040764275
Scout,1717.4016393910797
Zeka,1709.2279735552813
GALA,1695.4428784291483
Viper,1688.411510639713
Meiko,1657.5230297822663
369,1654.793037765282
Tian,1647.6174725132576
Delight,1647.582946564654
CoreJJ,1634.1774823851542
Creme,1629.3884953831614
Peanut,1623.4167944038143
JackeyLove,1619.9193399209225
Impact,1584.4846215281877
Mikyx,1577.8541573484772
TheShy,1577.0560297008813
UmTi,1560.7937171525248
APA,1532.1361190865844
BrokenBlade,1520.0019072349194
Kingen,1503.7827773685303
Yeon,1503.4738079661436
Yike,1496.9190623456952
Aiming,1465.9062522486947
Caps,1464.832684349345
Wei,1454.4368931372649
Moham,1443.5894051413202
Hans Sama,1434.7279751514316
Lucid,1424.6292158407355
ShowMaker,1381.1270264328562
Kiaya,1379.8537462614204
Levi,1361.4435237231296
Oscarinin,1360.587013896155
Flandre,1360.3544604053843
Kanavi,1348.0557439621145
EasyLove,1337.5286922758733
BeryL,1335.8387476641824
Maple,1334.6826628435047
Humanoid,1331.251361771472
Betty,1323.6639500858046
Woody,1322.7469843415508
Azhi,1310.8747678698414
Elio,1306.5915890381873
Noah,1306.4669825267752
Ruler,1301.0008195791747
PerfecT,1292.7542806278384
shanji,1283.282443671546
Kaiwing,1279.366836477513
Gemini,1278.803194395212
1Jiang,1278.7100052017051
Wako,1277.170326505294
JunJia,1273.0619967443363
Emo,1269.8636927917546
Jun,1267.4333331593598
Ale,1265.2001462750216
JimieN,1263.5028235792947
Pyosik,1263.0860481733598
Leyan,1261.016139616723
Hope,1260.7624462507113
Croco,1260.2804328519994
Shanks,1259.9718726031435
Gori,1258.3453677228586
Shunn,1257.4052514648683
SwordArt,1256.1425358905249
Kael,1254.9649451173223
Rest,1254.8545505714008
Karsa,1252.6538112439598
Adam,1247.5531435079458
Sheo,1246.4342635797473
Labrov,1246.22221825158
nuc,1245.4454110109339
Ice,1245.4326325005552
Razork,1241.1692648604599
Fresskowy,1240.6728090597908
Uzi,1235.924759341723
Bdd,1232.7573534442151
MISSING,1231.9896497758202
Pretender,1230.3963209469257
Rookie,1226.3202862832586
Myrwn,1217.3418867449695
Lyonz,1216.2541195887932
EMENES,1215.4459774162883
Yagao,1213.8447311893844
Taco,1201.1927971045336
Cryscata,1200.722451161556
Kellin,1200.429039075827
Orca,1200.2422812585835
Driver,1199.290080162255
Feng,1198.585645609864
665,1197.9062342574798
Summit,1196.2121035964183
MnM,1194.8736793348962
Elyoya,1190.5026826250116
Photic,1190.0750927254862
sheer,1186.3992668555532
