playername,position,kills,deaths,assists,dpm,damageshare,wardsplaced,wpm,visionscore,vspm,totalgold,earnedgold,earned gpm,damagetochampions,minionkills,monsterkills,result,win_percent
0909,mid,2.290625,1.9406249999999998,3.7874999999999996,594.2364,0.1986161625,9.653125,0.40958125,27.509375,1.17474375,9202.7875,6224.784374999999,274.176184375,13712.584374999999,192.609375,5.0093749999999995,0.4375,0.4
0din,mid,1.718181818181818,2.7363636363636363,4.454545454545454,450.29829090909095,0.13266689545454546,10.309090909090909,0.45045454545454544,26.40909090909091,1.1205181818181817,8784.3,5738.727272727273,245.49818181818182,11259.436363636363,181.23636363636362,1.8454545454545452,0.36363636363636365,0.0
1024,top,0.8909090909090908,2.545454545454545,1.7818181818181815,289.0157,0.12144512545454544,4.072727272727272,0.22006363636363638,14.254545454545452,0.7144272727272727,6502.172727272727,3949.0818181818177,198.5945090909091,5734.527272727272,135.22727272727272,4.072727272727272,0.18181818181818182,0.0
10IQ,bot,3.5,2.8,2.0999999999999996,493.6132,0.19177199999999997,7.0,0.3403,21.7,1.055,8731.099999999999,6020.7,292.717,10152.8,177.1,2.8,0.0,0.0
10ng,mid,1.5076923076923074,1.9923076923076921,4.4692307692307685,446.8269384615385,0.14737523230769228,4.8999999999999995,0.22453076923076923,24.23076923076923,1.0331461538461537,8502.9,5489.076923076923,241.6920923076923,10773.861538461537,177.85384615384615,7.3769230769230765,0.5384615384615384,0.0
1116,mid,3.308411214953271,2.457943925233645,6.5046728971962615,671.410474766355,0.27939821495327105,13.878504672897197,0.4387551401869159,39.654205607476634,1.2320495327102803,12738.598130841121,8577.971962616823,272.7697953271028,21430.66355140187,258.38317757009344,10.373831775700934,0.514018691588785,0.514018691588785
113,jng,2.0303370786516854,3.091011235955056,7.037078651685393,395.5555943820225,0.1297884691011236,7.598876404494382,0.28561797752808993,34.880898876404494,1.2988044943820225,8782.840449438201,5298.652808988763,202.15176966292134,10271.323595505617,18.274157303370785,113.9056179775281,0.5393258426966292,0.40476190476190477
1Blue,top,1.6923076923076923,3.6923076923076925,2.4615384615384617,509.38731538461536,0.27328376923076925,7.153846153846154,0.24876153846153848,27.692307692307693,0.9532615384615385,10556.461538461539,6804.7692307692305,232.78323076923076,14663.692307692309,224.0,14.307692307692308,0.23076923076923078,0.0
1Jiang,top,3.402061855670103,2.268041237113402,4.443298969072165,580.1565298969073,0.22127937731958763,12.948453608247423,0.4073484536082474,34.54639175257732,1.0778577319587628,12816.39175257732,8660.773195876289,276.39609587628865,18192.432989690722,254.8041237113402,9.237113402061855,0.6082474226804123,0.6082474226804123
1xn,bot,3.6256250000000003,1.928125,4.4775,657.988795,0.26494452125,14.320625000000001,0.472406875,42.630624999999995,1.4262700000000001,12917.765,9104.416874999999,316.048114375,19317.14375,262.405625,14.5775,0.48125,0.44036697247706424
